rooms,area,city,private_offer,year,total_price,zmywarka,balkon,piwnica,telewizor,monitoring,oddzielna_kuchnia,garaz,teren_zamkniety,klimatyzacja,taras
1,25,Wrocław,1,2019.0,1970,1,0,0,0,0,0,1,0,0,0
2,36,Wrocław,0,2019.0,1699,0,1,0,1,0,0,0,0,0,0
3,60,Wrocław,0,2008.0,2650,0,0,0,0,0,0,1,0,0,1
3,54,Wrocław,0,1983.0,2870,0,1,0,0,0,0,1,0,0,0
3,72,Wrocław,0,1900.0,3000,1,0,0,0,0,1,0,0,0,0
2,46,Wrocław,0,2009.0,2386,1,1,0,1,1,0,1,0,1,0
1,41,Wrocław,0,2020.0,2550,0,1,0,0,0,0,1,0,0,0
2,52,Wrocław,0,1997.0,2200,0,0,0,0,0,0,0,0,0,0
2,54,Wrocław,1,2007.0,2200,1,1,0,1,0,0,0,1,0,0
2,43,Wrocław,1,2013.0,2550,1,1,1,1,1,0,1,1,0,0
2,44,Wrocław,0,2015.0,3125,0,1,0,0,1,0,1,0,0,0
2,53,Wrocław,1,2006.0,2314,1,1,0,0,0,0,1,1,1,1
4,74,Wrocław,1,1992.0,3900,1,1,0,1,0,1,0,0,0,0
1,35,Wrocław,0,2016.0,1900,0,1,0,0,0,0,1,0,0,0
2,52,Wrocław,0,2016.0,2900,0,1,0,0,0,0,0,0,0,0
1,26,Wrocław,0,1970.0,1450,0,0,0,0,0,0,0,0,0,0
2,50,Wrocław,1,2004.0,2360,1,1,1,1,0,0,1,0,0,1
2,48,Wrocław,1,1970.0,2180,1,1,0,1,0,1,1,0,1,0
2,65,Wrocław,1,2007.0,2510,0,1,1,1,1,0,1,1,1,1
2,45,Wrocław,1,2014.0,2200,1,0,0,1,1,1,0,1,0,1
2,40,Wrocław,1,2018.0,2350,1,0,0,0,1,0,1,0,0,1
1,31,Wrocław,0,2001.0,1700,0,0,0,0,0,1,0,0,0,0
2,44,Wrocław,0,2012.0,1950,0,1,0,0,0,0,1,0,0,0
3,63,Legnica,1,2019.0,2420,1,1,0,1,1,0,0,1,1,0
1,35,Wrocław,0,2013.0,1740,1,1,0,0,0,1,0,0,0,0
2,42,Wrocław,1,2017.0,2400,1,1,0,1,0,0,1,1,0,0
2,50,Wrocław,0,2017.0,3000,0,1,0,1,1,0,1,0,0,0
1,31,Wrocław,1,2018.0,2050,1,1,0,1,0,0,1,0,0,1
1,40,Wrocław,0,2018.0,2150,1,1,0,0,1,0,0,1,0,0
3,85,Wrocław,1,2009.0,3600,1,1,0,0,0,1,1,1,0,1
2,48,Wrocław,0,1950.0,2360,0,0,0,0,0,1,0,0,0,0
1,37,Wrocław,0,2015.0,2000,0,1,0,0,0,0,1,0,0,0
2,32,Wrocław,1,2017.0,1960,1,1,0,0,1,0,1,0,0,0
2,53,Wrocław,1,2012.0,3150,1,1,0,1,1,0,1,1,0,0
2,52,Wrocław,1,2012.0,3150,1,1,0,1,1,0,1,1,0,0
1,25,Wrocław,1,2020.0,1650,0,0,0,0,0,0,0,0,0,0
2,40,Wrocław,1,2017.0,2400,1,0,0,1,1,0,1,1,0,1
3,65,Wrocław,1,2020.0,3490,1,1,1,1,1,0,1,1,1,0
2,35,Wrocław,0,2019.0,2200,1,1,0,0,0,0,1,0,0,0
2,44,Wrocław,1,1979.0,1800,0,1,1,0,0,1,0,0,0,0
3,55,Wrocław,0,2010.0,2910,0,1,0,0,0,0,1,0,0,0
2,64,Legnica,1,2018.0,1900,1,1,0,1,1,0,1,1,0,0
2,42,Wrocław,1,1978.0,2100,0,1,1,0,0,1,0,0,0,0
1,25,Wrocław,1,1952.0,1725,0,0,0,0,0,0,0,0,0,0
1,26,Wrocław,1,1920.0,1650,0,1,1,0,0,0,0,0,0,0
2,37,Wrocław,0,1977.0,2000,1,1,1,0,0,1,0,0,0,0
1,24,Wrocław,0,2020.0,1800,1,0,0,1,1,0,0,0,0,0
1,31,Wrocław,1,2018.0,2050,1,1,0,1,0,0,1,0,0,1
3,84,Wrocław,0,2008.0,3400,0,1,0,0,0,0,1,0,1,0
2,45,Wrocław,1,2016.0,2840,1,1,0,1,1,0,1,1,0,0
2,38,Wrocław,0,2016.0,2473,0,1,0,0,1,0,1,0,0,0
1,31,Wrocław,0,1940.0,2050,0,1,0,0,0,0,1,0,0,0
2,43,Wrocław,0,2018.0,2570,0,1,0,0,0,1,1,0,0,0
2,34,Wrocław,0,2019.0,2720,0,1,0,0,1,0,0,0,0,0
1,30,Wrocław,0,2018.0,1950,0,1,0,0,0,1,1,0,0,0
2,46,Wrocław,0,2017.0,2550,0,0,0,0,0,0,1,0,0,0
4,112,Wrocław,0,1909.0,6500,0,0,0,0,0,1,1,0,0,0
3,45,Wrocław,0,1970.0,2500,0,1,0,0,0,0,1,0,0,0
2,50,Wrocław,0,2019.0,2450,0,1,0,0,0,1,1,0,0,0
3,80,Wrocław,0,1920.0,3260,0,1,0,0,0,0,1,0,0,0
3,62,Wrocław,0,2008.0,2600,0,1,0,0,0,0,1,0,0,0
3,68,Wrocław,0,1920.0,3050,0,0,1,0,0,1,1,0,0,0
2,33,Wrocław,0,2019.0,2700,0,1,1,0,0,0,1,0,0,0
3,53,Wrocław,0,2019.0,3150,0,1,0,0,0,0,1,0,0,0
3,66,Wrocław,0,2005.0,2700,0,1,0,0,0,0,1,0,0,0
2,35,Wrocław,0,2014.0,2150,0,1,0,0,0,0,1,0,0,0
3,61,Wrocław,0,2000.0,2700,0,1,0,0,0,1,1,0,0,0
3,50,Wrocław,0,2018.0,3470,0,1,0,0,1,0,1,0,0,0
3,58,Wrocław,0,2020.0,2600,1,1,0,1,0,0,0,1,0,0
3,50,Wrocław,0,2010.0,2100,0,1,0,0,0,0,1,0,0,0
2,38,Legnica,0,2018.0,1600,0,1,1,0,0,0,0,0,0,0
3,65,Wrocław,1,2017.0,3300,1,1,0,1,1,1,1,1,0,0
2,36,Wrocław,1,1970.0,2242,1,1,1,0,1,0,0,0,0,0
3,45,Wrocław,1,1970.0,2200,0,1,1,0,0,0,1,1,0,0
3,61,Wrocław,0,2020.0,4600,0,1,0,0,0,0,0,0,0,0
1,26,Wrocław,1,2020.0,1650,1,1,0,0,1,0,1,1,0,0
2,60,Wrocław,1,1958.0,2650,1,0,1,0,0,1,0,1,0,0
4,69,Wrocław,1,2019.0,5200,1,1,0,1,0,0,1,0,1,0
3,53,Wrocław,0,2019.0,4100,0,1,0,0,0,0,1,0,0,0
1,30,Wrocław,1,2018.0,1850,1,0,0,1,1,0,0,0,0,0
1,31,Wrocław,1,1910.0,2190,1,0,0,1,0,0,0,0,0,0
1,32,Wrocław,1,2020.0,2250,1,1,0,1,0,1,0,1,0,0
2,44,Wrocław,1,2008.0,1990,1,1,1,0,0,0,0,0,0,0
2,48,Wrocław,0,2014.0,2350,0,1,0,0,0,0,0,0,0,0
2,36,Wrocław,0,2014.0,2400,0,0,0,0,0,0,1,0,0,0
2,50,Wrocław,1,2018.0,2600,1,1,0,1,1,0,1,1,0,0
2,52,Wrocław,0,2010.0,2315,0,1,0,0,1,0,1,1,0,0
2,51,Wrocław,1,2013.0,2620,1,1,1,1,1,1,1,1,1,0
2,30,Wrocław,0,2014.0,2100,0,1,0,0,0,0,1,0,0,0
2,47,Wrocław,0,1968.0,2830,0,1,1,0,0,0,0,0,0,0
2,49,Wrocław,0,1975.0,2000,0,1,0,0,0,1,1,0,0,0
1,30,Wrocław,0,2014.0,2000,0,1,0,0,1,0,0,0,0,0
2,40,Wrocław,1,2019.0,2145,1,1,0,1,1,0,1,1,0,1
1,42,Wrocław,1,2017.0,2840,1,0,0,1,0,1,1,1,0,0
2,42,Wrocław,1,2016.0,2500,1,1,0,1,1,0,1,1,0,0
1,18,Wrocław,0,1978.0,1300,0,0,0,0,0,0,0,0,0,0
2,43,Wrocław,0,2013.0,1860,0,0,0,0,0,0,0,0,0,0
2,53,Wrocław,0,2012.0,3150,0,1,0,0,1,0,1,1,0,0
3,62,Wrocław,0,2015.0,3599,1,1,0,1,1,1,1,0,1,0
